Región de residencia habitual actual,Comuna de residencia habitual actual,Población censada
Libertador General Bernardo O'Higgins,San Vicente,49559.0
Libertador General Bernardo O'Higgins,Pichilemu,19847.0
Libertador General Bernardo O'Higgins,La Estrella,4609.0
Libertador General Bernardo O'Higgins,Litueche,8852.0
Libertador General Bernardo O'Higgins,Marchihue,8715.0
Libertador General Bernardo O'Higgins,Navidad,8885.0
Libertador General Bernardo O'Higgins,Paredones,7228.0
Libertador General Bernardo O'Higgins,San Fernando,75585.0
Libertador General Bernardo O'Higgins,Chépica,15668.0
Libertador General Bernardo O'Higgins,Chimbarongo,37258.0
Libertador General Bernardo O'Higgins,Lolol,7791.0
Libertador General Bernardo O'Higgins,Nancagua,18723.0
Libertador General Bernardo O'Higgins,Palmilla,13060.0
Libertador General Bernardo O'Higgins,Peralillo,12493.0
Libertador General Bernardo O'Higgins,Placilla,9438.0
Libertador General Bernardo O'Higgins,Pumanque,4559.0
Libertador General Bernardo O'Higgins,Santa Cruz,41209.0
Maule,Talca,232131.0
Maule,Constitución,47004.0
Maule,Curepto,9519.0
Maule,Empedrado,3990.0
Maule,Maule,61081.0
Maule,Pelarco,9229.0
Maule,Pencahue,9181.0
Maule,Río Claro,14276.0
Maule,San Clemente,47380.0
Maule,San Rafael,11230.0
Maule,Cauquenes,42798.0
Maule,Chanco,9446.0
Maule,Pelluhue,8578.0
Maule,Curicó,159968.0
Maule,Hualañé,10775.0
Maule,Licantén,6892.0
Maule,Molina,48949.0
Maule,Rauco,11266.0
Maule,Romeral,17233.0
Maule,Sagrada Familia,19427.0
Maule,Teno,30113.0
Maule,Vichuquén,4716.0
Maule,Linares,96744.0
Maule,Colbún,22637.0
Maule,Longaví,33299.0
Maule,Parral,45323.0
Maule,Retiro,22310.0
Maule,San Javier,49559.0
Maule,Villa Alegre,17919.0
Maule,Yerbas Buenas,20035.0
Ñuble,Chillán,190382.0
Ñuble,Bulnes,23863.0
Ñuble,Chillán Viejo,32688.0
Ñuble,El Carmen,13186.0
Ñuble,Pemuco,8930.0
Ñuble,Pinto,12502.0
Ñuble,Quillón,19165.0
Ñuble,San Ignacio,17405.0
Ñuble,Yungay,18680.0
Ñuble,Quirihue,11746.0
Ñuble,Cobquecura,5495.0
Ñuble,Coelemu,15895.0
Ñuble,Ninhue,5763.0
Ñuble,Portezuelo,5203.0
Ñuble,Ránquil,6508.0
Ñuble,Trehuaco,6124.0
Ñuble,San Carlos,55847.0
Ñuble,Coihueco,29766.0
Ñuble,Ñiquén,12797.0
Ñuble,San Fabián,5245.0
