Región,Comuna,País o continente de nacimiento,Inmigrantes internacionales
País,País,Total nacidos fuera del país,1608650.0
País,País,Argentina,70266.0
País,País,Bolivia (Estado Plurinacional de),168083.0
País,País,Colombia,197813.0
País,País,Haití,80781.0
País,País,Perú,233432.0
País,País,Venezuela (República Bolivariana de),669408.0
País,País,Otros países de América del Sur,78860.0
País,País,Otros países de América Central y El Caribe,40559.0
País,País,América del Norte,11329.0
País,País,Europa,33563.0
País,País,Asia,20047.0
País,País,África,1580.0
País,País,Oceanía,1477.0
País,País,País de nacimiento no declarado,1452.0
Arica y Parinacota,Arica,Total nacidos fuera del país,35592.0
Arica y Parinacota,Arica,Argentina,341.0
Arica y Parinacota,Arica,Bolivia (Estado Plurinacional de),13677.0
Arica y Parinacota,Arica,Colombia,1968.0
Arica y Parinacota,Arica,Haití,22.0
Arica y Parinacota,Arica,Perú,11206.0
Arica y Parinacota,Arica,Venezuela (República Bolivariana de),6597.0
Arica y Parinacota,Arica,Otros países de América del Sur,897.0
Arica y Parinacota,Arica,Otros países de América Central y El Caribe,467.0
Arica y Parinacota,Arica,América del Norte,67.0
Arica y Parinacota,Arica,Europa,236.0
Arica y Parinacota,Arica,Asia,80.0
Arica y Parinacota,Arica,África,9.0
Arica y Parinacota,Arica,Oceanía,10.0
Arica y Parinacota,Arica,País de nacimiento no declarado,15.0
Arica y Parinacota,Camarones,Total nacidos fuera del país,101.0
Arica y Parinacota,Camarones,Argentina,0.0
Arica y Parinacota,Camarones,Bolivia (Estado Plurinacional de),70.0
Arica y Parinacota,Camarones,Colombia,1.0
Arica y Parinacota,Camarones,Haití,0.0
Arica y Parinacota,Camarones,Perú,23.0
Arica y Parinacota,Camarones,Venezuela (República Bolivariana de),4.0
Arica y Parinacota,Camarones,Otros países de América del Sur,0.0
Arica y Parinacota,Camarones,Otros países de América Central y El Caribe,2.0
Arica y Parinacota,Camarones,América del Norte,1.0
Arica y Parinacota,Camarones,Europa,0.0
Arica y Parinacota,Camarones,Asia,0.0
Arica y Parinacota,Camarones,África,0.0
Arica y Parinacota,Camarones,Oceanía,0.0
Arica y Parinacota,Camarones,País de nacimiento no declarado,0.0
Arica y Parinacota,Putre,Total nacidos fuera del país,362.0
Arica y Parinacota,Putre,Argentina,1.0
Arica y Parinacota,Putre,Bolivia (Estado Plurinacional de),307.0
Arica y Parinacota,Putre,Colombia,0.0
Arica y Parinacota,Putre,Haití,0.0
Arica y Parinacota,Putre,Perú,46.0
Arica y Parinacota,Putre,Venezuela (República Bolivariana de),6.0
Arica y Parinacota,Putre,Otros países de América del Sur,0.0
Arica y Parinacota,Putre,Otros países de América Central y El Caribe,0.0
Arica y Parinacota,Putre,América del Norte,0.0
Arica y Parinacota,Putre,Europa,0.0
Arica y Parinacota,Putre,Asia,0.0
Arica y Parinacota,Putre,África,0.0
Arica y Parinacota,Putre,Oceanía,1.0
Arica y Parinacota,Putre,País de nacimiento no declarado,1.0
Arica y Parinacota,General Lagos,Total nacidos fuera del país,133.0
Arica y Parinacota,General Lagos,Argentina,0.0
Arica y Parinacota,General Lagos,Bolivia (Estado Plurinacional de),111.0
Arica y Parinacota,General Lagos,Colombia,0.0
Arica y Parinacota,General Lagos,Haití,0.0
Arica y Parinacota,General Lagos,Perú,20.0
Arica y Parinacota,General Lagos,Venezuela (República Bolivariana de),0.0
Arica y Parinacota,General Lagos,Otros países de América del Sur,2.0
Arica y Parinacota,General Lagos,Otros países de América Central y El Caribe,0.0
Arica y Parinacota,General Lagos,América del Norte,0.0
Arica y Parinacota,General Lagos,Europa,0.0
Arica y Parinacota,General Lagos,Asia,0.0
Arica y Parinacota,General Lagos,África,0.0
Arica y Parinacota,General Lagos,Oceanía,0.0
Arica y Parinacota,General Lagos,País de nacimiento no declarado,0.0
Tarapacá,Iquique,Total nacidos fuera del país,40655.0
Tarapacá,Iquique,Argentina,580.0
Tarapacá,Iquique,Bolivia (Estado Plurinacional de),17474.0
Tarapacá,Iquique,Colombia,2903.0
Tarapacá,Iquique,Haití,106.0
Tarapacá,Iquique,Perú,7642.0
Tarapacá,Iquique,Venezuela (República Bolivariana de),6977.0
Tarapacá,Iquique,Otros países de América del Sur,1833.0
Tarapacá,Iquique,Otros países de América Central y El Caribe,892.0
Tarapacá,Iquique,América del Norte,80.0
Tarapacá,Iquique,Europa,237.0
Tarapacá,Iquique,Asia,1840.0
Tarapacá,Iquique,África,29.0
Tarapacá,Iquique,Oceanía,9.0
Tarapacá,Iquique,País de nacimiento no declarado,53.0
Tarapacá,Alto Hospicio,Total nacidos fuera del país,37628.0
Tarapacá,Alto Hospicio,Argentina,330.0
Tarapacá,Alto Hospicio,Bolivia (Estado Plurinacional de),20614.0
Tarapacá,Alto Hospicio,Colombia,3150.0
Tarapacá,Alto Hospicio,Haití,128.0
Tarapacá,Alto Hospicio,Perú,7453.0
Tarapacá,Alto Hospicio,Venezuela (República Bolivariana de),3728.0
Tarapacá,Alto Hospicio,Otros países de América del Sur,1549.0
Tarapacá,Alto Hospicio,Otros países de América Central y El Caribe,477.0
Tarapacá,Alto Hospicio,América del Norte,18.0
Tarapacá,Alto Hospicio,Europa,64.0
Tarapacá,Alto Hospicio,Asia,95.0
Tarapacá,Alto Hospicio,África,13.0
Tarapacá,Alto Hospicio,Oceanía,2.0
Tarapacá,Alto Hospicio,País de nacimiento no declarado,7.0
Tarapacá,Pozo Almonte,Total nacidos fuera del país,3695.0
Tarapacá,Pozo Almonte,Argentina,19.0
Tarapacá,Pozo Almonte,Bolivia (Estado Plurinacional de),2618.0
Tarapacá,Pozo Almonte,Colombia,165.0
Tarapacá,Pozo Almonte,Haití,3.0
Tarapacá,Pozo Almonte,Perú,407.0
Tarapacá,Pozo Almonte,Venezuela (República Bolivariana de),355.0
Tarapacá,Pozo Almonte,Otros países de América del Sur,89.0
Tarapacá,Pozo Almonte,Otros países de América Central y El Caribe,17.0
Tarapacá,Pozo Almonte,América del Norte,3.0
Tarapacá,Pozo Almonte,Europa,12.0
Tarapacá,Pozo Almonte,Asia,6.0
Tarapacá,Pozo Almonte,África,0.0
Tarapacá,Pozo Almonte,Oceanía,0.0
Tarapacá,Pozo Almonte,País de nacimiento no declarado,1.0
Tarapacá,Camiña,Total nacidos fuera del país,245.0
Tarapacá,Camiña,Argentina,0.0
Tarapacá,Camiña,Bolivia (Estado Plurinacional de),231.0
Tarapacá,Camiña,Colombia,2.0
Tarapacá,Camiña,Haití,0.0
Tarapacá,Camiña,Perú,8.0
Tarapacá,Camiña,Venezuela (República Bolivariana de),1.0
Tarapacá,Camiña,Otros países de América del Sur,3.0
Tarapacá,Camiña,Otros países de América Central y El Caribe,0.0
Tarapacá,Camiña,América del Norte,0.0
Tarapacá,Camiña,Europa,0.0
Tarapacá,Camiña,Asia,0.0
Tarapacá,Camiña,África,0.0
Tarapacá,Camiña,Oceanía,0.0
Tarapacá,Camiña,País de nacimiento no declarado,0.0
Tarapacá,Colchane,Total nacidos fuera del país,338.0
Tarapacá,Colchane,Argentina,0.0
Tarapacá,Colchane,Bolivia (Estado Plurinacional de),244.0
Tarapacá,Colchane,Colombia,10.0
Tarapacá,Colchane,Haití,0.0
Tarapacá,Colchane,Perú,2.0
Tarapacá,Colchane,Venezuela (República Bolivariana de),81.0
Tarapacá,Colchane,Otros países de América del Sur,1.0
Tarapacá,Colchane,Otros países de América Central y El Caribe,0.0
Tarapacá,Colchane,América del Norte,0.0
Tarapacá,Colchane,Europa,0.0
Tarapacá,Colchane,Asia,0.0
Tarapacá,Colchane,África,0.0
Tarapacá,Colchane,Oceanía,0.0
Tarapacá,Colchane,País de nacimiento no declarado,0.0
Tarapacá,Huara,Total nacidos fuera del país,688.0
Tarapacá,Huara,Argentina,4.0
Tarapacá,Huara,Bolivia (Estado Plurinacional de),533.0
Tarapacá,Huara,Colombia,7.0
Tarapacá,Huara,Haití,0.0
Tarapacá,Huara,Perú,99.0
Tarapacá,Huara,Venezuela (República Bolivariana de),33.0
Tarapacá,Huara,Otros países de América del Sur,3.0
Tarapacá,Huara,Otros países de América Central y El Caribe,4.0
Tarapacá,Huara,América del Norte,0.0
Tarapacá,Huara,Europa,3.0
Tarapacá,Huara,Asia,2.0
Tarapacá,Huara,África,0.0
Tarapacá,Huara,Oceanía,0.0
Tarapacá,Huara,País de nacimiento no declarado,0.0
Tarapacá,Pica,Total nacidos fuera del país,1686.0
Tarapacá,Pica,Argentina,15.0
Tarapacá,Pica,Bolivia (Estado Plurinacional de),1466.0
Tarapacá,Pica,Colombia,22.0
Tarapacá,Pica,Haití,2.0
Tarapacá,Pica,Perú,55.0
Tarapacá,Pica,Venezuela (República Bolivariana de),87.0
Tarapacá,Pica,Otros países de América del Sur,15.0
Tarapacá,Pica,Otros países de América Central y El Caribe,16.0
Tarapacá,Pica,América del Norte,1.0
Tarapacá,Pica,Europa,6.0
Tarapacá,Pica,Asia,0.0
Tarapacá,Pica,África,1.0
Tarapacá,Pica,Oceanía,0.0
Tarapacá,Pica,País de nacimiento no declarado,0.0
Antofagasta,Antofagasta,Total nacidos fuera del país,76793.0
Antofagasta,Antofagasta,Argentina,1239.0
Antofagasta,Antofagasta,Bolivia (Estado Plurinacional de),19940.0
Antofagasta,Antofagasta,Colombia,29254.0
Antofagasta,Antofagasta,Haití,38.0
Antofagasta,Antofagasta,Perú,10189.0
Antofagasta,Antofagasta,Venezuela (República Bolivariana de),11528.0
Antofagasta,Antofagasta,Otros países de América del Sur,3192.0
Antofagasta,Antofagasta,Otros países de América Central y El Caribe,610.0
Antofagasta,Antofagasta,América del Norte,108.0
Antofagasta,Antofagasta,Europa,370.0
Antofagasta,Antofagasta,Asia,238.0
Antofagasta,Antofagasta,África,38.0
Antofagasta,Antofagasta,Oceanía,10.0
Antofagasta,Antofagasta,País de nacimiento no declarado,39.0
Antofagasta,Mejillones,Total nacidos fuera del país,4202.0
Antofagasta,Mejillones,Argentina,41.0
Antofagasta,Mejillones,Bolivia (Estado Plurinacional de),2890.0
Antofagasta,Mejillones,Colombia,822.0
Antofagasta,Mejillones,Haití,1.0
Antofagasta,Mejillones,Perú,171.0
Antofagasta,Mejillones,Venezuela (República Bolivariana de),169.0
Antofagasta,Mejillones,Otros países de América del Sur,66.0
Antofagasta,Mejillones,Otros países de América Central y El Caribe,13.0
Antofagasta,Mejillones,América del Norte,1.0
Antofagasta,Mejillones,Europa,13.0
Antofagasta,Mejillones,Asia,10.0
Antofagasta,Mejillones,África,5.0
Antofagasta,Mejillones,Oceanía,0.0
Antofagasta,Mejillones,País de nacimiento no declarado,0.0
Antofagasta,Sierra Gorda,Total nacidos fuera del país,468.0
Antofagasta,Sierra Gorda,Argentina,5.0
Antofagasta,Sierra Gorda,Bolivia (Estado Plurinacional de),350.0
Antofagasta,Sierra Gorda,Colombia,35.0
Antofagasta,Sierra Gorda,Haití,0.0
Antofagasta,Sierra Gorda,Perú,44.0
Antofagasta,Sierra Gorda,Venezuela (República Bolivariana de),22.0
Antofagasta,Sierra Gorda,Otros países de América del Sur,10.0
Antofagasta,Sierra Gorda,Otros países de América Central y El Caribe,1.0
Antofagasta,Sierra Gorda,América del Norte,0.0
Antofagasta,Sierra Gorda,Europa,1.0
Antofagasta,Sierra Gorda,Asia,0.0
Antofagasta,Sierra Gorda,África,0.0
Antofagasta,Sierra Gorda,Oceanía,0.0
Antofagasta,Sierra Gorda,País de nacimiento no declarado,0.0
Antofagasta,Taltal,Total nacidos fuera del país,948.0
Antofagasta,Taltal,Argentina,6.0
Antofagasta,Taltal,Bolivia (Estado Plurinacional de),206.0
Antofagasta,Taltal,Colombia,395.0
Antofagasta,Taltal,Haití,1.0
Antofagasta,Taltal,Perú,140.0
Antofagasta,Taltal,Venezuela (República Bolivariana de),127.0
Antofagasta,Taltal,Otros países de América del Sur,63.0
Antofagasta,Taltal,Otros países de América Central y El Caribe,6.0
Antofagasta,Taltal,América del Norte,0.0
Antofagasta,Taltal,Europa,4.0
Antofagasta,Taltal,Asia,0.0
Antofagasta,Taltal,África,0.0
Antofagasta,Taltal,Oceanía,0.0
Antofagasta,Taltal,País de nacimiento no declarado,0.0
Antofagasta,Calama,Total nacidos fuera del país,35221.0
Antofagasta,Calama,Argentina,568.0
Antofagasta,Calama,Bolivia (Estado Plurinacional de),22577.0
Antofagasta,Calama,Colombia,4083.0
Antofagasta,Calama,Haití,13.0
Antofagasta,Calama,Perú,2933.0
Antofagasta,Calama,Venezuela (República Bolivariana de),3807.0
Antofagasta,Calama,Otros países de América del Sur,755.0
Antofagasta,Calama,Otros países de América Central y El Caribe,229.0
Antofagasta,Calama,América del Norte,24.0
Antofagasta,Calama,Europa,105.0
Antofagasta,Calama,Asia,81.0
Antofagasta,Calama,África,8.0
Antofagasta,Calama,Oceanía,2.0
Antofagasta,Calama,País de nacimiento no declarado,36.0
Antofagasta,Ollagüe,Total nacidos fuera del país,62.0
Antofagasta,Ollagüe,Argentina,0.0
Antofagasta,Ollagüe,Bolivia (Estado Plurinacional de),59.0
Antofagasta,Ollagüe,Colombia,0.0
Antofagasta,Ollagüe,Haití,0.0
Antofagasta,Ollagüe,Perú,2.0
Antofagasta,Ollagüe,Venezuela (República Bolivariana de),1.0
Antofagasta,Ollagüe,Otros países de América del Sur,0.0
Antofagasta,Ollagüe,Otros países de América Central y El Caribe,0.0
Antofagasta,Ollagüe,América del Norte,0.0
Antofagasta,Ollagüe,Europa,0.0
Antofagasta,Ollagüe,Asia,0.0
Antofagasta,Ollagüe,África,0.0
Antofagasta,Ollagüe,Oceanía,0.0
Antofagasta,Ollagüe,País de nacimiento no declarado,0.0
Antofagasta,San Pedro de Atacama,Total nacidos fuera del país,2740.0
Antofagasta,San Pedro de Atacama,Argentina,92.0
Antofagasta,San Pedro de Atacama,Bolivia (Estado Plurinacional de),2049.0
Antofagasta,San Pedro de Atacama,Colombia,106.0
Antofagasta,San Pedro de Atacama,Haití,3.0
Antofagasta,San Pedro de Atacama,Perú,261.0
Antofagasta,San Pedro de Atacama,Venezuela (República Bolivariana de),82.0
Antofagasta,San Pedro de Atacama,Otros países de América del Sur,79.0
Antofagasta,San Pedro de Atacama,Otros países de América Central y El Caribe,17.0
Antofagasta,San Pedro de Atacama,América del Norte,0.0
Antofagasta,San Pedro de Atacama,Europa,46.0
Antofagasta,San Pedro de Atacama,Asia,3.0
Antofagasta,San Pedro de Atacama,África,2.0
Antofagasta,San Pedro de Atacama,Oceanía,0.0
Antofagasta,San Pedro de Atacama,País de nacimiento no declarado,0.0
Antofagasta,Tocopilla,Total nacidos fuera del país,2802.0
Antofagasta,Tocopilla,Argentina,23.0
Antofagasta,Tocopilla,Bolivia (Estado Plurinacional de),1194.0
Antofagasta,Tocopilla,Colombia,806.0
Antofagasta,Tocopilla,Haití,0.0
Antofagasta,Tocopilla,Perú,310.0
Antofagasta,Tocopilla,Venezuela (República Bolivariana de),333.0
Antofagasta,Tocopilla,Otros países de América del Sur,79.0
Antofagasta,Tocopilla,Otros países de América Central y El Caribe,20.0
Antofagasta,Tocopilla,América del Norte,1.0
Antofagasta,Tocopilla,Europa,12.0
Antofagasta,Tocopilla,Asia,14.0
Antofagasta,Tocopilla,África,1.0
Antofagasta,Tocopilla,Oceanía,0.0
Antofagasta,Tocopilla,País de nacimiento no declarado,9.0
Antofagasta,María Elena,Total nacidos fuera del país,770.0
Antofagasta,María Elena,Argentina,17.0
Antofagasta,María Elena,Bolivia (Estado Plurinacional de),548.0
Antofagasta,María Elena,Colombia,108.0
Antofagasta,María Elena,Haití,0.0
Antofagasta,María Elena,Perú,54.0
Antofagasta,María Elena,Venezuela (República Bolivariana de),31.0
Antofagasta,María Elena,Otros países de América del Sur,7.0
Antofagasta,María Elena,Otros países de América Central y El Caribe,2.0
Antofagasta,María Elena,América del Norte,0.0
Antofagasta,María Elena,Europa,2.0
Antofagasta,María Elena,Asia,0.0
Antofagasta,María Elena,África,0.0
Antofagasta,María Elena,Oceanía,0.0
Antofagasta,María Elena,País de nacimiento no declarado,1.0
Atacama,Copiapó,Total nacidos fuera del país,19207.0
Atacama,Copiapó,Argentina,364.0
Atacama,Copiapó,Bolivia (Estado Plurinacional de),7278.0
Atacama,Copiapó,Colombia,3338.0
Atacama,Copiapó,Haití,71.0
Atacama,Copiapó,Perú,1869.0
Atacama,Copiapó,Venezuela (República Bolivariana de),4766.0
Atacama,Copiapó,Otros países de América del Sur,896.0
Atacama,Copiapó,Otros países de América Central y El Caribe,304.0
Atacama,Copiapó,América del Norte,24.0
Atacama,Copiapó,Europa,137.0
Atacama,Copiapó,Asia,142.0
Atacama,Copiapó,África,4.0
Atacama,Copiapó,Oceanía,0.0
Atacama,Copiapó,País de nacimiento no declarado,14.0
Atacama,Caldera,Total nacidos fuera del país,1114.0
Atacama,Caldera,Argentina,41.0
Atacama,Caldera,Bolivia (Estado Plurinacional de),128.0
Atacama,Caldera,Colombia,227.0
Atacama,Caldera,Haití,10.0
Atacama,Caldera,Perú,133.0
Atacama,Caldera,Venezuela (República Bolivariana de),365.0
Atacama,Caldera,Otros países de América del Sur,108.0
Atacama,Caldera,Otros países de América Central y El Caribe,67.0
Atacama,Caldera,América del Norte,3.0
Atacama,Caldera,Europa,11.0
Atacama,Caldera,Asia,19.0
Atacama,Caldera,África,1.0
Atacama,Caldera,Oceanía,1.0
Atacama,Caldera,País de nacimiento no declarado,0.0
Atacama,Tierra Amarilla,Total nacidos fuera del país,682.0
Atacama,Tierra Amarilla,Argentina,9.0
Atacama,Tierra Amarilla,Bolivia (Estado Plurinacional de),388.0
Atacama,Tierra Amarilla,Colombia,113.0
Atacama,Tierra Amarilla,Haití,4.0
Atacama,Tierra Amarilla,Perú,36.0
Atacama,Tierra Amarilla,Venezuela (República Bolivariana de),56.0
Atacama,Tierra Amarilla,Otros países de América del Sur,27.0
Atacama,Tierra Amarilla,Otros países de América Central y El Caribe,35.0
Atacama,Tierra Amarilla,América del Norte,0.0
Atacama,Tierra Amarilla,Europa,2.0
Atacama,Tierra Amarilla,Asia,11.0
Atacama,Tierra Amarilla,África,1.0
Atacama,Tierra Amarilla,Oceanía,0.0
Atacama,Tierra Amarilla,País de nacimiento no declarado,0.0
Atacama,Chañaral,Total nacidos fuera del país,463.0
Atacama,Chañaral,Argentina,9.0
Atacama,Chañaral,Bolivia (Estado Plurinacional de),160.0
Atacama,Chañaral,Colombia,106.0
Atacama,Chañaral,Haití,0.0
Atacama,Chañaral,Perú,63.0
Atacama,Chañaral,Venezuela (República Bolivariana de),100.0
Atacama,Chañaral,Otros países de América del Sur,13.0
Atacama,Chañaral,Otros países de América Central y El Caribe,2.0
Atacama,Chañaral,América del Norte,1.0
Atacama,Chañaral,Europa,3.0
Atacama,Chañaral,Asia,6.0
Atacama,Chañaral,África,0.0
Atacama,Chañaral,Oceanía,0.0
Atacama,Chañaral,País de nacimiento no declarado,0.0
Atacama,Diego de Almagro,Total nacidos fuera del país,735.0
Atacama,Diego de Almagro,Argentina,22.0
Atacama,Diego de Almagro,Bolivia (Estado Plurinacional de),77.0
Atacama,Diego de Almagro,Colombia,300.0
Atacama,Diego de Almagro,Haití,5.0
Atacama,Diego de Almagro,Perú,56.0
Atacama,Diego de Almagro,Venezuela (República Bolivariana de),154.0
Atacama,Diego de Almagro,Otros países de América del Sur,45.0
Atacama,Diego de Almagro,Otros países de América Central y El Caribe,69.0
Atacama,Diego de Almagro,América del Norte,0.0
Atacama,Diego de Almagro,Europa,5.0
Atacama,Diego de Almagro,Asia,0.0
Atacama,Diego de Almagro,África,0.0
Atacama,Diego de Almagro,Oceanía,1.0
Atacama,Diego de Almagro,País de nacimiento no declarado,1.0
Atacama,Vallenar,Total nacidos fuera del país,2336.0
Atacama,Vallenar,Argentina,61.0
Atacama,Vallenar,Bolivia (Estado Plurinacional de),318.0
Atacama,Vallenar,Colombia,681.0
Atacama,Vallenar,Haití,31.0
Atacama,Vallenar,Perú,127.0
Atacama,Vallenar,Venezuela (República Bolivariana de),926.0
Atacama,Vallenar,Otros países de América del Sur,72.0
Atacama,Vallenar,Otros países de América Central y El Caribe,46.0
Atacama,Vallenar,América del Norte,11.0
Atacama,Vallenar,Europa,18.0
Atacama,Vallenar,Asia,32.0
Atacama,Vallenar,África,5.0
Atacama,Vallenar,Oceanía,2.0
Atacama,Vallenar,País de nacimiento no declarado,6.0
Atacama,Alto del Carmen,Total nacidos fuera del país,86.0
Atacama,Alto del Carmen,Argentina,3.0
Atacama,Alto del Carmen,Bolivia (Estado Plurinacional de),23.0
Atacama,Alto del Carmen,Colombia,10.0
Atacama,Alto del Carmen,Haití,0.0
Atacama,Alto del Carmen,Perú,15.0
Atacama,Alto del Carmen,Venezuela (República Bolivariana de),21.0
Atacama,Alto del Carmen,Otros países de América del Sur,3.0
Atacama,Alto del Carmen,Otros países de América Central y El Caribe,6.0
Atacama,Alto del Carmen,América del Norte,1.0
Atacama,Alto del Carmen,Europa,4.0
Atacama,Alto del Carmen,Asia,0.0
Atacama,Alto del Carmen,África,0.0
Atacama,Alto del Carmen,Oceanía,0.0
Atacama,Alto del Carmen,País de nacimiento no declarado,0.0
Atacama,Freirina,Total nacidos fuera del país,92.0
Atacama,Freirina,Argentina,3.0
Atacama,Freirina,Bolivia (Estado Plurinacional de),22.0
Atacama,Freirina,Colombia,24.0
Atacama,Freirina,Haití,0.0
Atacama,Freirina,Perú,12.0
Atacama,Freirina,Venezuela (República Bolivariana de),16.0
Atacama,Freirina,Otros países de América del Sur,6.0
Atacama,Freirina,Otros países de América Central y El Caribe,5.0
Atacama,Freirina,América del Norte,0.0
Atacama,Freirina,Europa,3.0
Atacama,Freirina,Asia,1.0
Atacama,Freirina,África,0.0
Atacama,Freirina,Oceanía,0.0
Atacama,Freirina,País de nacimiento no declarado,0.0
Atacama,Huasco,Total nacidos fuera del país,452.0
Atacama,Huasco,Argentina,14.0
Atacama,Huasco,Bolivia (Estado Plurinacional de),83.0
Atacama,Huasco,Colombia,146.0
Atacama,Huasco,Haití,21.0
Atacama,Huasco,Perú,26.0
Atacama,Huasco,Venezuela (República Bolivariana de),119.0
Atacama,Huasco,Otros países de América del Sur,22.0
Atacama,Huasco,Otros países de América Central y El Caribe,8.0
Atacama,Huasco,América del Norte,0.0
Atacama,Huasco,Europa,9.0
Atacama,Huasco,Asia,4.0
Atacama,Huasco,África,0.0
Atacama,Huasco,Oceanía,0.0
Atacama,Huasco,País de nacimiento no declarado,0.0
Coquimbo,La Serena,Total nacidos fuera del país,15544.0
Coquimbo,La Serena,Argentina,889.0
Coquimbo,La Serena,Bolivia (Estado Plurinacional de),833.0
Coquimbo,La Serena,Colombia,2790.0
Coquimbo,La Serena,Haití,399.0
Coquimbo,La Serena,Perú,904.0
Coquimbo,La Serena,Venezuela (República Bolivariana de),7816.0
Coquimbo,La Serena,Otros países de América del Sur,674.0
Coquimbo,La Serena,Otros países de América Central y El Caribe,383.0
Coquimbo,La Serena,América del Norte,126.0
Coquimbo,La Serena,Europa,492.0
Coquimbo,La Serena,Asia,191.0
Coquimbo,La Serena,África,19.0
Coquimbo,La Serena,Oceanía,16.0
Coquimbo,La Serena,País de nacimiento no declarado,12.0
Coquimbo,Coquimbo,Total nacidos fuera del país,16971.0
Coquimbo,Coquimbo,Argentina,932.0
Coquimbo,Coquimbo,Bolivia (Estado Plurinacional de),1318.0
Coquimbo,Coquimbo,Colombia,2982.0
Coquimbo,Coquimbo,Haití,1099.0
Coquimbo,Coquimbo,Perú,1017.0
Coquimbo,Coquimbo,Venezuela (República Bolivariana de),7662.0
Coquimbo,Coquimbo,Otros países de América del Sur,1028.0
Coquimbo,Coquimbo,Otros países de América Central y El Caribe,414.0
Coquimbo,Coquimbo,América del Norte,77.0
Coquimbo,Coquimbo,Europa,304.0
Coquimbo,Coquimbo,Asia,114.0
Coquimbo,Coquimbo,África,6.0
Coquimbo,Coquimbo,Oceanía,9.0
Coquimbo,Coquimbo,País de nacimiento no declarado,9.0
Coquimbo,Andacollo,Total nacidos fuera del país,135.0
Coquimbo,Andacollo,Argentina,7.0
Coquimbo,Andacollo,Bolivia (Estado Plurinacional de),15.0
Coquimbo,Andacollo,Colombia,26.0
Coquimbo,Andacollo,Haití,0.0
Coquimbo,Andacollo,Perú,23.0
Coquimbo,Andacollo,Venezuela (República Bolivariana de),39.0
Coquimbo,Andacollo,Otros países de América del Sur,10.0
Coquimbo,Andacollo,Otros países de América Central y El Caribe,4.0
Coquimbo,Andacollo,América del Norte,3.0
Coquimbo,Andacollo,Europa,3.0
Coquimbo,Andacollo,Asia,5.0
Coquimbo,Andacollo,África,0.0
Coquimbo,Andacollo,Oceanía,0.0
Coquimbo,Andacollo,País de nacimiento no declarado,0.0
Coquimbo,La Higuera,Total nacidos fuera del país,110.0
Coquimbo,La Higuera,Argentina,4.0
Coquimbo,La Higuera,Bolivia (Estado Plurinacional de),15.0
Coquimbo,La Higuera,Colombia,22.0
Coquimbo,La Higuera,Haití,3.0
Coquimbo,La Higuera,Perú,6.0
Coquimbo,La Higuera,Venezuela (República Bolivariana de),41.0
Coquimbo,La Higuera,Otros países de América del Sur,9.0
Coquimbo,La Higuera,Otros países de América Central y El Caribe,6.0
Coquimbo,La Higuera,América del Norte,1.0
Coquimbo,La Higuera,Europa,2.0
Coquimbo,La Higuera,Asia,0.0
Coquimbo,La Higuera,África,0.0
Coquimbo,La Higuera,Oceanía,1.0
Coquimbo,La Higuera,País de nacimiento no declarado,0.0
Coquimbo,Paihuano,Total nacidos fuera del país,122.0
Coquimbo,Paihuano,Argentina,15.0
Coquimbo,Paihuano,Bolivia (Estado Plurinacional de),12.0
Coquimbo,Paihuano,Colombia,15.0
Coquimbo,Paihuano,Haití,1.0
Coquimbo,Paihuano,Perú,6.0
Coquimbo,Paihuano,Venezuela (República Bolivariana de),49.0
Coquimbo,Paihuano,Otros países de América del Sur,7.0
Coquimbo,Paihuano,Otros países de América Central y El Caribe,1.0
Coquimbo,Paihuano,América del Norte,5.0
Coquimbo,Paihuano,Europa,11.0
Coquimbo,Paihuano,Asia,0.0
Coquimbo,Paihuano,África,0.0
Coquimbo,Paihuano,Oceanía,0.0
Coquimbo,Paihuano,País de nacimiento no declarado,0.0
Coquimbo,Vicuña,Total nacidos fuera del país,1239.0
Coquimbo,Vicuña,Argentina,51.0
Coquimbo,Vicuña,Bolivia (Estado Plurinacional de),448.0
Coquimbo,Vicuña,Colombia,72.0
Coquimbo,Vicuña,Haití,68.0
Coquimbo,Vicuña,Perú,61.0
Coquimbo,Vicuña,Venezuela (República Bolivariana de),405.0
Coquimbo,Vicuña,Otros países de América del Sur,64.0
Coquimbo,Vicuña,Otros países de América Central y El Caribe,17.0
Coquimbo,Vicuña,América del Norte,6.0
Coquimbo,Vicuña,Europa,35.0
Coquimbo,Vicuña,Asia,9.0
Coquimbo,Vicuña,África,2.0
Coquimbo,Vicuña,Oceanía,1.0
Coquimbo,Vicuña,País de nacimiento no declarado,0.0
Coquimbo,Illapel,Total nacidos fuera del país,988.0
Coquimbo,Illapel,Argentina,55.0
Coquimbo,Illapel,Bolivia (Estado Plurinacional de),66.0
Coquimbo,Illapel,Colombia,70.0
Coquimbo,Illapel,Haití,32.0
Coquimbo,Illapel,Perú,123.0
Coquimbo,Illapel,Venezuela (República Bolivariana de),533.0
Coquimbo,Illapel,Otros países de América del Sur,59.0
Coquimbo,Illapel,Otros países de América Central y El Caribe,24.0
Coquimbo,Illapel,América del Norte,5.0
Coquimbo,Illapel,Europa,12.0
Coquimbo,Illapel,Asia,7.0
Coquimbo,Illapel,África,1.0
Coquimbo,Illapel,Oceanía,1.0
Coquimbo,Illapel,País de nacimiento no declarado,0.0
Coquimbo,Canela,Total nacidos fuera del país,88.0
Coquimbo,Canela,Argentina,6.0
