folio,año,region,expr,tam_hogar,n_personas,edad_prom,edad_max,prop_menores_15,prop_may_65,hay_menores_15,hay_adulto_mayor,edu_nivel_prom,edu_nivel_min,prop_alfabetos,prop_asiste_edu,prop_ocupados,prop_con_contrato,ingreso_sueldos,ingreso_indep,atendido_salud,tipo_vivienda,material_muros,estado_muros,fuente_agua,sist_excretas,tiene_electricid,n_dormitorios,dormitorios_hogar,d_asistencia_esc,d_rezago_esc,d_escolaridad,d_atencion_salud,d_ocupacion,d_seg_social,d_jubilaciones,d_hacinamiento,d_estado_viv,d_serv_basicos,d_contaminacion,d_accesibilidad,d_trato_igual,d_seguridad,pobreza_multi,cod_comuna,comuna,sexo_jefe,edad_jefe,ecivil_jefe,edu_nivel_jefe,edu_curso_jefe,alfabeto_jefe,ocupado_jefe,contrato_jefe,ingreso_jefe,hacinamiento_idx,ingreso_total_hogar,ingreso_percapita
268520801.0,2024,14,37,4,4,48.0,83,0.0,0.25,0,1,10.0,7,1.0,0.25,0.25,1.0,650000,0,0.0,1,3,2,1,1,1,3.0,3.0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,1.0,14204,Río Bueno,2,83,7,7,4.0,1,2,0.0,0.0,1.3333333333333333,864296,216074.0
270760101.0,2024,14,28,2,2,76.5,89,0.0,0.5,0,1,9.5,6,1.0,0.0,0.0,0.0,0,0,0.0,3,3,1,1,1,1,3.0,3.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,89,7,6,6.0,1,2,0.0,0.0,0.6666666666666666,162000,81000.0
270760201.0,2024,14,30,1,1,74.0,74,0.0,1.0,0,1,8.0,8,1.0,0.0,0.0,0.0,0,0,0.0,2,3,1,1,1,1,3.0,1.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,74,7,8,6.0,1,2,0.0,0.0,1.0,0,0.0
270760202.0,2024,14,30,1,1,53.0,53,0.0,0.0,0,0,9.0,9,1.0,0.0,0.0,1.0,500000,0,0.0,2,3,1,1,1,1,3.0,1.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,1,0,0.0,14101,Valdivia,2,53,8,9,4.0,1,2,1.0,500000.0,1.0,500000,500000.0
270760301.0,2024,14,41,3,3,66.33333333333333,78,0.0,0.6666666666666666,0,1,7.0,6,1.0,0.0,0.3333333333333333,0.0,500000,0,0.0,2,3,1,1,1,1,2.0,2.0,0,0.0,1.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,1,77,1,6,4.0,1,2,0.0,0.0,1.5,1004296,334765.3333333333
270760401.0,2024,14,29,2,2,73.0,78,0.0,1.0,0,1,8.0,6,1.0,0.0,0.5,0.0,200000,0,0.0,1,3,1,1,1,1,3.0,3.0,0,0.0,1.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,68,1,6,5.0,1,1,3.0,200000.0,0.6666666666666666,814296,407148.0
270760501.0,2024,14,31,3,3,31.0,54,0.0,0.0,0,0,11.666666666666666,9,1.0,0.6666666666666666,0.3333333333333333,0.0,0,600000,0.0,1,3,1,1,1,2,2.0,2.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,54,8,9,4.0,1,1,0.0,0.0,1.5,600000,200000.0
270760601.0,2024,14,53,1,1,58.0,58,0.0,0.0,0,0,13.0,13,1.0,0.0,1.0,1.0,1200000,0,0.0,2,3,1,1,1,1,4.0,4.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,1,58,8,13,5.0,1,1,1.0,1200000.0,0.25,1200000,1200000.0
270760701.0,2024,14,47,3,3,67.0,83,0.0,0.6666666666666666,0,1,4.0,1,0.6666666666666666,0.0,0.3333333333333333,0.0,0,200000,0.0,2,3,1,1,1,1,2.0,2.0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,1,74,1,6,4.0,1,1,0.0,0.0,1.5,656414,218804.66666666663
270760801.0,2024,14,45,3,3,32.0,49,0.0,0.0,0,0,11.0,9,1.0,0.0,0.3333333333333333,0.0,200000,0,0.0,1,3,1,1,1,1,3.0,3.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,1,0,0.0,14101,Valdivia,2,49,5,11,4.0,1,2,0.0,0.0,1.0,200000,66666.66666666667
272340201.0,2024,14,41,2,2,57.5,60,0.0,0.0,0,0,9.0,9,1.0,0.0,0.5,1.0,500000,0,0.0,2,3,2,1,1,1,3.0,3.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,55,1,9,4.0,1,2,0.0,0.0,0.6666666666666666,500000,250000.0
272340501.0,2024,14,42,3,3,36.0,61,0.0,0.0,0,0,10.333333333333334,9,1.0,0.3333333333333333,0.6666666666666666,1.0,600000,100000,0.0,2,3,1,1,1,1,3.0,3.0,0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,61,6,9,4.0,1,1,0.0,0.0,1.0,700000,233333.3333333333
272340601.0,2024,14,54,2,2,24.5,27,0.0,0.0,0,0,13.0,13,1.0,1.0,0.0,0.0,0,0,0.0,2,3,2,1,1,1,2.0,2.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,1,27,8,13,5.0,1,2,0.0,0.0,1.0,0,0.0
272340701.0,2024,14,44,2,2,36.5,56,0.0,0.0,0,0,10.5,9,1.0,0.5,0.5,0.0,0,800000,0.0,2,3,1,1,1,1,3.0,3.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,1,56,6,12,3.0,1,1,0.0,0.0,0.6666666666666666,800000,400000.0
272340801.0,2024,14,43,3,3,33.0,57,0.0,0.0,0,0,9.666666666666666,9,1.0,0.3333333333333333,0.6666666666666666,1.0,1000000,0,0.0,2,3,1,1,1,1,3.0,3.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,57,5,11,4.0,1,1,1.0,500000.0,1.0,1000000,333333.3333333333
273850101.0,2024,14,63,4,4,29.5,75,0.5,0.25,1,1,6.25,2,1.0,0.5,0.5,0.0,200000,0,0.0,1,3,1,1,1,1,2.0,2.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,75,8,9,2.0,1,2,0.0,0.0,2.0,414296,103574.0
273850301.0,2024,14,30,3,3,40.66666666666666,73,0.0,0.3333333333333333,0,1,10.666666666666666,9,1.0,0.3333333333333333,0.0,1.0,1269000,0,0.0,1,3,2,1,1,1,3.0,3.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,1,0,0.0,14101,Valdivia,2,73,6,9,2.0,1,2,0.0,0.0,1.0,1503000,501000.0
273850401.0,2024,14,35,2,2,60.5,66,0.0,0.5,0,1,6.5,6,1.0,0.0,0.0,0.0,0,0,0.0,1,3,3,1,1,1,1.0,1.0,0,0.0,1.0,0.0,0,0.0,0,0.0,1.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,66,2,6,5.0,1,2,0.0,0.0,2.0,428592,214296.0
273850601.0,2024,14,33,7,7,32.42857142857143,77,0.1428571428571428,0.1428571428571428,1,1,8.0,4,1.0,0.4285714285714285,0.3333333333333333,0.0,0,400000,0.0,1,3,1,1,1,1,4.0,4.0,0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,1,46,1,9,2.0,1,2,0.0,0.0,1.75,400000,57142.857142857145
273850801.0,2024,14,51,1,1,54.0,54,0.0,0.0,0,0,11.0,11,1.0,0.0,1.0,1.0,521000,0,0.0,1,3,1,1,1,1,2.0,2.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,1,54,6,11,4.0,1,1,1.0,521000.0,0.5,521000,521000.0
276390101.0,2024,14,46,2,2,69.0,85,0.0,0.5,0,1,10.5,8,1.0,0.0,0.5,0.0,0,800000,0.0,1,4,1,1,1,1,3.0,3.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,1,0.0,14101,Valdivia,1,53,5,13,5.0,1,1,0.0,0.0,0.6666666666666666,800000,400000.0
276390201.0,2024,14,42,6,6,46.0,76,0.1666666666666666,0.1666666666666666,1,1,8.333333333333334,7,1.0,0.1666666666666666,0.8,0.25,1680000,0,0.0,1,4,3,1,1,1,4.0,4.0,0,0.0,1.0,0.0,0,1.0,0,0.0,1.0,0.0,0,0.0,0,1,1.0,14101,Valdivia,2,76,7,7,2.0,1,2,0.0,0.0,1.5,1680000,280000.0
276390301.0,2024,14,42,4,4,36.5,63,0.25,0.0,1,0,9.0,7,0.6666666666666666,0.25,0.0,1.0,1000000,0,0.0,1,3,1,1,1,1,5.0,5.0,0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0,0.0,0,1,0.0,14101,Valdivia,2,63,8,9,4.0,1,2,1.0,500000.0,0.8,1000000,250000.0
276390601.0,2024,14,50,2,2,60.0,76,0.0,0.5,0,1,10.5,8,1.0,0.0,0.0,0.0,0,0,0.0,1,3,1,1,1,1,2.0,2.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,76,7,8,3.0,1,2,0.0,0.0,1.0,214296,107148.0
