folio,año,region,expr,tam_hogar,n_personas,edad_prom,edad_max,prop_menores_15,prop_may_65,hay_menores_15,hay_adulto_mayor,edu_nivel_prom,edu_nivel_min,prop_alfabetos,prop_asiste_edu,prop_ocupados,prop_con_contrato,ingreso_sueldos,ingreso_indep,atendido_salud,tipo_vivienda,material_muros,estado_muros,fuente_agua,sist_excretas,tiene_electricid,n_dormitorios,dormitorios_hogar,d_asistencia_esc,d_rezago_esc,d_escolaridad,d_atencion_salud,d_ocupacion,d_seg_social,d_jubilaciones,d_hacinamiento,d_estado_viv,d_serv_basicos,d_contaminacion,d_accesibilidad,d_trato_igual,d_seguridad,pobreza_multi,cod_comuna,comuna,sexo_jefe,edad_jefe,ecivil_jefe,edu_nivel_jefe,edu_curso_jefe,alfabeto_jefe,ocupado_jefe,contrato_jefe,ingreso_jefe,hacinamiento_idx,ingreso_total_hogar,ingreso_percapita,idx_educacion,idx_vivienda,idx_composicion,idx_ingresos,cluster
1410110010201.0,2017,14,46,3,3,54.66666666666666,79,0.0,0.3333333333333333,0,1,10.666666666666666,6,1.0,0.0,0.3333333333333333,1.0,730000,0,0.0,3,1,2,1,1,1,3.0,3.0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,40,8,13,3.0,1,2,1.0,400000.0,1.0,730000,243333.3333333333,0.7304435138835409,0.34537815126050425,0.2962962962962963,0.6912652450034281,2.0
1410110020101.0,2017,14,106,3,3,16.333333333333332,41,0.6666666666666666,0.0,1,0,5.0,2,1.0,0.6666666666666666,0.0,0.0,0,0,0.0,1,3,1,2,1,2,2.0,2.0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0,1.0,0,0,0.0,14101,Valdivia,2,41,5,9,4.0,1,2,0.0,0.0,1.5,0,0.0,0.6856214970264837,0.3341436574629852,0.3796296296296296,0.886596104837885,4.0
1410110020201.0,2017,14,103,1,1,28.0,28,0.0,0.0,0,0,14.0,14,1.0,1.0,1.0,1.0,96000,0,1.0,2,3,1,1,1,2,2.0,2.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,28,8,14,4.0,1,1,1.0,96000.0,0.5,96000,96000.0,0.46826065331793093,0.292326930772309,0.0,0.6293487331182325,1.0
1410110020301.0,2017,14,111,3,3,24.33333333333333,44,0.3333333333333333,0.0,1,0,9.666666666666666,7,1.0,0.6666666666666666,0.5,0.0,70000,0,0.0,2,2,2,2,1,2,2.0,2.0,0,1.0,1.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,1,0,1.0,14101,Valdivia,2,44,7,13,3.0,1,1,3.0,70000.0,1.5,70000,23333.33333333333,0.6120603901938134,0.3877150860344138,0.3101851851851852,0.8169458374044576,4.0
1410110020401.0,2017,14,139,4,4,20.75,35,0.5,0.0,1,0,6.5,3,1.0,0.5,1.0,1.0,250000,250000,0.25,1,3,2,1,1,1,2.0,2.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,32,2,9,4.0,1,1,1.0,250000.0,2.0,500000,125000.0,0.6982656270055192,0.4086234493797519,0.3819444444444444,0.6195659713152891,2.0
1410110020501.0,2017,14,203,2,2,43.5,51,0.0,0.0,0,0,10.0,9,1.0,0.0,1.0,1.0,560000,0,0.0,1,3,1,1,1,1,4.0,4.0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,1,51,8,11,5.0,1,1,1.0,280000.0,0.5,560000,280000.0,0.7046913104864587,0.29113645458183274,0.037037037037037035,0.6127451762860171,1.0
1410110020601.0,2017,14,123,6,6,25.83333333333333,49,0.1666666666666666,0.0,1,0,9.666666666666666,7,1.0,0.3333333333333333,0.6,0.6666666666666666,720000,0,0.0,1,3,2,2,1,1,4.0,4.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,1,42,1,9,4.0,1,1,9.0,300000.0,1.5,720000,120000.0,0.6744186668378043,0.4043817527010804,0.3865740740740741,0.6943607292213483,2.0
1410110020701.0,2017,14,106,4,4,20.25,38,0.5,0.0,1,0,8.0,7,1.0,0.75,0.5,0.0,0,200000,1.0,7,3,2,1,1,2,1.0,1.0,0,0.0,0.0,0.0,0,1.0,0,1.0,1.0,0.0,0,0.0,1,0,1.0,14101,Valdivia,2,38,5,9,4.0,1,1,0.0,0.0,4.0,200000,50000.0,0.6102153125401104,0.43630452180872353,0.3819444444444444,0.8205078181245984,4.0
1410110020801.0,2017,14,86,1,1,21.0,21,0.0,0.0,0,0,14.0,14,1.0,1.0,1.0,1.0,140000,0,0.0,1,3,2,1,1,1,11.0,11.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,21,8,14,4.0,1,1,1.0,140000.0,0.0909090909090909,140000,140000.0,0.46826065331793093,0.28853177634690236,0.0,0.62661765681889,1.0
1410110020901.0,2017,14,159,1,1,59.0,59,0.0,0.0,0,0,9.0,9,1.0,0.0,0.0,0.0,0,0,0.0,1,1,3,1,1,1,2.0,2.0,0,0.0,0.0,0.0,1,0.0,0,0.0,1.0,0.0,0,0.0,1,0,0.0,14101,Valdivia,1,59,5,9,4.0,1,2,0.0,0.0,0.5,0,0.0,0.7112373251187267,0.4173269307723089,0.0,0.886596104837885,1.0
