id,tipo,modalidad,comuna,precio,m2_utiles,ubicacion,dormitorios_estimados,personas_hogar,indice_hacinamiento,f_A,clasificacion,precio_m2
152,casa,venta,Valdivia,560000000.0,200.0,"Los Helechos 735, 5110171 Valdivia, Los Ríos, Chile, Isla Teja, Valdivia",10,2.9,0.29,1,Sin hacinamiento,2800000.0
154,casa,venta,Valdivia,756000000.0,280.0,"Valdivia, Centro De Valdivia",14,2.9,0.21,1,Sin hacinamiento,2700000.0
155,casa,venta,Valdivia,296000000.0,218.0,"7WH2+MR, Valdivia, Valdivia",10,2.9,0.29,1,Sin hacinamiento,1357798.1651376146
156,casa,venta,Valdivia,759800000.0,350.0,"Cam. De Luna 250, 5110062 Valdivia, Los Ríos, Chile, Isla Teja, Valdivia",17,2.9,0.17,1,Sin hacinamiento,2170857.1428571427
157,casa,venta,Valdivia,532000000.0,280.0,"Torobayo, Torobayo, Valdivia",14,2.9,0.21,1,Sin hacinamiento,1900000.0
158,casa,venta,Valdivia,67500000.0,88.0,"POBLACIÓN SAN PABLO, Sur De Valdivia, Valdivia",4,2.9,0.72,1,Sin hacinamiento,767045.4545454546
159,casa,venta,Valdivia,496000000.0,190.0,"Condominio El Bayo 23, Valdivia, Los Ríos, Chile, Torobayo, Valdivia",9,2.9,0.32,1,Sin hacinamiento,2610526.3157894737
160,casa,venta,Valdivia,343600000.0,165.0,"Rebellín, Valdivia, Valdivia",8,2.9,0.36,1,Sin hacinamiento,2082424.2424242424
162,casa,venta,Valdivia,244000000.0,105.0,"19 De Junio, Valdivia, Las Animas, Valdivia",5,2.9,0.58,1,Sin hacinamiento,2323809.523809524
163,casa,venta,Valdivia,145000000.0,190.0,"Colo Colo, Sur De Valdivia, Valdivia",9,2.9,0.32,1,Sin hacinamiento,763157.8947368421
164,casa,venta,Valdivia,260000000.0,125.0,"Carlos Anwandter, Centro De Valdivia, Valdivia",6,2.9,0.48,1,Sin hacinamiento,2080000.0
165,casa,venta,Valdivia,520000000.0,230.0,"P519 - Ruta - T-350, Valdivia, Los Ríos, Chile, Torobayo, Valdivia",11,2.9,0.26,1,Sin hacinamiento,2260869.565217391
166,casa,venta,Valdivia,290000000.0,160.0,"Santa Ana Cayumapu, Valdivia",8,2.9,0.36,1,Sin hacinamiento,1812500.0
167,casa,venta,Valdivia,400000000.0,5.0,"Av. Balmaceda 8500, Valdivia, Los Ríos, Chile, Valdivia",1,2.9,2.9,2,Hacinamiento medio,80000000.0
168,casa,venta,Valdivia,380000000.0,186.0,"Torobayo, Torobayo, Valdivia",9,2.9,0.32,1,Sin hacinamiento,2043010.752688172
169,casa,venta,Valdivia,315000000.0,150.0,"7VHW+4R Cayumapu, Valdivia, Chile, Valdivia",7,2.9,0.41,1,Sin hacinamiento,2100000.0
170,casa,venta,Valdivia,400000000.0,340.0,"Altos Del Rebellín, Parcela 7, Valdivia",17,2.9,0.17,1,Sin hacinamiento,1176470.5882352942
171,casa,venta,Valdivia,1000000000.0,825.0,"Gral Lagos 1845, Valdivia, Sur De Valdivia, Valdivia",41,2.9,0.07,1,Sin hacinamiento,1212121.2121212122
172,casa,venta,Valdivia,381600000.0,139.0,"Ruta T.350 4800 - 5100 Valdivia, Valdivia",6,2.9,0.48,1,Sin hacinamiento,2745323.7410071944
173,casa,venta,Valdivia,520000000.0,145.0,"Condominio El Bayo, Valdivia, Torobayo, Valdivia",7,2.9,0.41,1,Sin hacinamiento,3586206.896551724
174,casa,venta,Valdivia,1000000000.0,380.0,"Angachilla, Valdivia",19,2.9,0.15,1,Sin hacinamiento,2631578.947368421
175,casa,venta,Valdivia,75000000.0,48.0,"Raul Carabantes_Raul Prado, Sur De Valdivia, Valdivia",2,2.9,1.45,1,Sin hacinamiento,1562500.0
176,casa,venta,Valdivia,446000000.0,100.0,"Italia 2230, Sur De Valdivia, Valdivia",5,2.9,0.58,1,Sin hacinamiento,4460000.0
177,casa,venta,Valdivia,352000000.0,180.0,"Vicente Caballero 255, Niebla, Valdivia, Niebla, Valdivia",9,2.9,0.32,1,Sin hacinamiento,1955555.5555555555
178,casa,venta,Valdivia,150000000.0,130.0,"La Goleta 1742, Valdivia, Las Animas, Valdivia",6,2.9,0.48,1,Sin hacinamiento,1153846.1538461538
179,casa,venta,Valdivia,250000000.0,100.0,"San Martin, Valdivia",5,2.9,0.58,1,Sin hacinamiento,2500000.0
180,casa,venta,Valdivia,120000000.0,91.0,"Piedra Blanca, Valdivia, Valdivia",4,2.9,0.72,1,Sin hacinamiento,1318681.3186813188
182,casa,venta,Valdivia,556000000.0,217.0,"Avda Errázuriz 1586, Campo Militar De Valdivia, Valdivia",10,2.9,0.29,1,Sin hacinamiento,2562211.9815668203
183,casa,venta,Valdivia,150000000.0,80.0,"Collipulli Sur 102, Valdivia, Valdivia",4,2.9,0.72,1,Sin hacinamiento,1875000.0
184,casa,venta,Valdivia,290000000.0,256.0,"Av. Simpson 1492, Villa Del Rey, Valdivia, Sur De Valdivia, Valdivia",12,2.9,0.24,1,Sin hacinamiento,1132812.5
187,casa,venta,Valdivia,1600000000.0,480.0,"Los Castaños 1 - 300, Valdivia, Isla Teja, Valdivia",24,2.9,0.12,1,Sin hacinamiento,3333333.3333333335
188,casa,venta,Valdivia,359600000.0,140.0,"Teja Market, Isla Teja, Valdivia",7,2.9,0.41,1,Sin hacinamiento,2568571.4285714286
