y1,y11,y20amonto,y26_2c,y26_1amonto,sexo,region,esc,estrato,oficio1_88,oficio1,y29_2b
,,,,,2,14,,141011,,,0.0
,0.0,,,,2,14,8.0,141011,,,0.0
300000.0,,,,,1,14,8.0,141011,9.0,9313.0,0.0
,0.0,,,,2,14,11.0,141011,,,0.0
,,,,,1,14,,141011,,,0.0
,0.0,,,,2,14,8.0,141011,,,0.0
,0.0,,,,1,14,7.0,141011,,,0.0
,,,,,1,14,,141011,,,0.0
,,,,,2,14,,141011,,,0.0
,,,,,2,14,,141011,,,0.0
,,,,,1,14,12.0,141011,9.0,9113.0,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
250000.0,,,,,2,14,16.0,141011,4.0,4142.0,0.0
,,,,,2,14,,141011,,,0.0
,,,,,2,14,,141011,,,0.0
600000.0,,,,,1,14,19.0,141011,2.0,2310.0,0.0
600000.0,,,,,1,14,19.0,141011,2.0,2310.0,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
350000.0,,,,,1,14,12.0,141011,9.0,9152.0,0.0
,0.0,,,,1,14,17.0,141011,,,0.0
,0.0,,,,1,14,13.0,141011,,,0.0
,,,,,2,14,5.0,141011,5.0,5230.0,0.0
,0.0,,,,2,14,4.0,141011,,,0.0
,,,,,1,14,4.0,141011,9.0,9313.0,0.0
250000.0,,,,,2,14,12.0,141011,5.0,5131.0,0.0
250000.0,,,,,2,14,8.0,141011,5.0,5122.0,0.0
700000.0,,,,,1,14,8.0,141011,4.0,4131.0,0.0
500000.0,,,,,2,14,12.0,141011,3.0,3431.0,0.0
,,,,,1,14,12.0,141011,7.0,7124.0,0.0
250000.0,,,,,2,14,17.0,141011,2.0,2340.0,0.0
,0.0,,,104646.0,2,14,1.0,141011,,,104646.0
,0.0,,,104646.0,1,14,2.0,141011,,,104646.0
,,,,,1,14,10.0,141011,1.0,1313.0,0.0
550000.0,,,99.0,,2,14,12.0,141011,4.0,4121.0,99.0
,0.0,,,,1,14,17.0,141011,,,0.0
250000.0,,,,,2,14,12.0,141011,4.0,4115.0,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
,,,,,2,14,,141011,,,0.0
,0.0,,900000.0,,1,14,17.0,141011,,,900000.0
1500000.0,,,500000.0,,2,14,21.0,141011,2.0,2352.0,500000.0
,0.0,,,,1,14,12.0,141011,,,0.0
,0.0,,,,2,14,15.0,141011,,,0.0
,45000.0,,,,1,14,15.0,141011,,,0.0
280000.0,,,,,1,14,16.0,141011,4.0,4211.0,0.0
,0.0,,,,2,14,18.0,141011,,,0.0
,0.0,,,,1,14,18.0,141011,,,0.0
,,,,,1,14,11.0,141011,5.0,5230.0,0.0
,,,,,2,14,4.0,141011,5.0,5230.0,0.0
,,,,,2,14,12.0,141011,3.0,3414.0,0.0
,,,,,1,14,12.0,141011,3.0,3414.0,0.0
,,,,,2,14,,141011,,,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
0.0,,,,,1,14,12.0,141011,9.0,9152.0,0.0
300000.0,,,,,1,14,12.0,141011,4.0,4131.0,0.0
,,,,,2,14,8.0,141011,1.0,1315.0,0.0
0.0,,,,,1,14,3.0,141011,9.0,9152.0,0.0
500000.0,,,,,1,14,11.0,141011,8.0,8324.0,0.0
,0.0,,,,2,14,17.0,141011,,,0.0
800000.0,,,,,1,14,12.0,141011,7.0,7134.0,0.0
99.0,,,,,2,14,17.0,141011,2.0,2451.0,0.0
99.0,,,,,1,14,12.0,141011,7.0,7129.0,0.0
,0.0,,,104646.0,2,14,10.0,141011,,,104646.0
,0.0,,99.0,,2,14,17.0,141011,,,99.0
,0.0,,99.0,,2,14,17.0,141011,,,99.0
1200000.0,,,,,1,14,14.0,141011,2.0,2419.0,0.0
,,,,,2,14,12.0,141011,3.0,3131.0,0.0
,,,,,1,14,,141011,,,0.0
,,,,,1,14,,141011,,,0.0
,,,140000.0,,1,14,16.0,141011,2.0,2419.0,140000.0
,0.0,,,,1,14,12.0,141011,,,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
,,,,,2,14,8.0,141011,5.0,5220.0,0.0
500000.0,,,,,1,14,8.0,141011,3.0,3417.0,0.0
,0.0,,,,1,14,12.0,141011,,,0.0
400000.0,,,,,2,14,12.0,141011,3.0,3412.0,0.0
270000.0,,,,,1,14,12.0,141011,4.0,4223.0,0.0
270000.0,,,,,1,14,4.0,141011,4.0,4223.0,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
,,,,,1,14,,141011,,,0.0
,,,,,2,14,,141011,,,0.0
1400000.0,,,,,1,14,17.0,141011,2.0,2451.0,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
0.0,,,,,2,14,17.0,141011,5.0,5220.0,0.0
300000.0,,,,,2,14,12.0,141011,5.0,5220.0,0.0
,,,,,2,14,11.0,141011,1.0,1315.0,0.0
,,,,,1,14,18.0,141011,1.0,1317.0,0.0
,,,,,1,14,17.0,141011,1.0,1317.0,0.0
,0.0,,,,1,14,12.0,141011,,,0.0
,0.0,,,104646.0,2,14,12.0,141011,,,104646.0
,0.0,,,,1,14,12.0,141011,,,0.0
,0.0,,,,1,14,12.0,141011,,,0.0
,,,,,2,14,12.0,141011,6.0,6121.0,0.0
,,,,,1,14,17.0,141011,1.0,1311.0,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
790000.0,,,,,2,14,17.0,141011,2.0,2340.0,0.0
,,,,,1,14,,141011,,,0.0
1200000.0,,,,,1,14,17.0,141011,2.0,2310.0,0.0
1100000.0,,,,,2,14,19.0,141011,2.0,2142.0,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
,,,,,1,14,15.0,141011,1.0,1315.0,0.0
,0.0,,1600000.0,,1,14,17.0,141011,,,1600000.0
,0.0,,,,2,14,8.0,141011,,,0.0
720000.0,,,380000.0,,1,14,14.0,141011,1.0,1110.0,380000.0
,,,,,2,14,14.0,141011,9.0,9113.0,0.0
,0.0,,330000.0,,2,14,12.0,141011,,,330000.0
1800000.0,,,,,2,14,19.0,141011,2.0,2421.0,0.0
1500000.0,,,,,1,14,21.0,141011,2.0,2114.0,0.0
,,,,,2,14,,141011,,,0.0
2000000.0,,,,,2,14,17.0,141011,1.0,1120.0,0.0
1100000.0,,,,,2,14,19.0,141011,2.0,2310.0,0.0
,0.0,,,,2,14,13.0,141011,,,0.0
,0.0,,,,2,14,10.0,141011,,,0.0
670000.0,,,,104646.0,1,14,18.0,141011,2.0,2222.0,104646.0
99.0,,,,,1,14,18.0,141011,2.0,2222.0,0.0
99.0,,,,,1,14,20.0,141011,2.0,2222.0,0.0
500000.0,,,,,2,14,12.0,141011,3.0,3439.0,0.0
,0.0,,,,2,14,13.0,141011,,,0.0
,0.0,,1000000.0,,2,14,16.0,141011,,,1000000.0
1000000.0,,,,,2,14,17.0,141011,2.0,2340.0,0.0
,0.0,,,,1,14,16.0,141011,,,0.0
,0.0,,,,2,14,16.0,141011,,,0.0
,0.0,,180000.0,,2,14,6.0,141011,,,180000.0
,0.0,,,,1,14,6.0,141011,,,0.0
,0.0,,99.0,,1,14,17.0,141011,,,99.0
,0.0,,,,2,14,15.0,141011,,,0.0
,0.0,,300000.0,,2,14,17.0,141011,,,300000.0
800000.0,,,,,2,14,17.0,141011,5.0,5121.0,0.0
270000.0,,,,,2,14,12.0,141011,5.0,5220.0,0.0
,,,,,1,14,12.0,141011,1.0,1314.0,0.0
,0.0,,,,1,14,3.0,141011,,,0.0
,,,,,2,14,,141011,,,0.0
,,,,,2,14,,141011,,,0.0
1300000.0,,,,,1,14,15.0,141011,3.0,3231.0,0.0
300000.0,,,,,2,14,17.0,141011,3.0,3231.0,0.0
