y1,y11,y20amonto,y29_2b,sexo,region,esc,estrato,oficio1
,,,,2,14,10.0,1420126,
,,,214296.0,1,14,0.0,1410112,
,,,,2,14,15.0,1410112,
,,,750000.0,1,14,15.0,1410112,8.0
650000.0,,,,1,14,15.0,1410112,3.0
490000.0,,,,1,14,12.0,1410112,7.0
,,,,2,14,14.0,1410112,
,,,,1,14,17.0,1410112,
,,,214296.0,2,14,12.0,1410112,
,,,,1,14,9.0,1410824,5.0
,,,400000.0,1,14,12.0,1410824,
,,,214296.0,2,14,12.0,1410824,1.0
500000.0,,,220000.0,1,14,6.0,1410824,6.0
800000.0,,,,1,14,22.0,1410824,2.0
,,,,1,14,15.0,1410824,
600000.0,,,,2,14,15.0,1410824,3.0
500000.0,,,,1,14,15.0,1410824,7.0
,,,,1,14,,1410824,
,,,,2,14,11.0,1410824,
,,,214296.0,2,14,0.0,1410824,
,,,,1,14,6.0,1410824,
,,,103000.0,2,14,14.0,1420314,
,,,250000.0,2,14,12.0,1420314,
,,,324000.0,1,14,3.0,1420314,
,,,,2,14,4.0,1420314,
1950000.0,,,,2,14,17.0,1420314,2.0
,,,,2,14,10.0,1420314,
,,,,2,14,5.0,1420314,
663000.0,,,,1,14,15.0,1420314,5.0
,,,,2,14,17.0,1420314,
2000000.0,,,,2,14,17.0,1420314,2.0
,,,590000.0,1,14,17.0,1420314,
,,,,1,14,,1420314,
,,,,1,14,,1420314,
2300000.0,,,,1,14,17.0,1420314,2.0
,,,500000.0,2,14,17.0,1420314,
1000000.0,,,,2,14,15.0,1410814,3.0
,,,,1,14,10.0,1410814,
,,,,2,14,8.0,1410814,
450000.0,,,,1,14,7.0,1410814,5.0
0.0,,,,2,14,12.0,1410814,9.0
,,,,2,14,,1410814,
,,,,2,14,12.0,1410814,
,,21243.0,,2,14,,1410814,
350000.0,,,,2,14,15.0,1410814,3.0
320000.0,,,,1,14,10.0,1410814,8.0
,,,,2,14,,1410814,
,,,214296.0,2,14,12.0,1410814,
,,,310000.0,1,14,3.0,1410414,
450000.0,,,,2,14,15.0,1410414,5.0
,,,,2,14,12.0,1410414,
,,,,2,14,,1410414,
,,,,2,14,12.0,1410414,
650000.0,,,,1,14,15.0,1410414,8.0
,,,,2,14,,1410414,
,,,,1,14,,1410414,
,,,,2,14,12.0,1410414,5.0
,,,,1,14,16.0,1410414,
,,,,2,14,15.0,1410414,3.0
,,,,1,14,12.0,1410414,7.0
500000.0,,,,1,14,12.0,1410414,8.0
,,,,1,14,15.0,1410414,
,,,,1,14,,1410414,
,,,,2,14,12.0,1410414,
,,,,2,14,12.0,1410414,
,,,,1,14,12.0,1410414,8.0
,,21243.0,,2,14,,1410414,
,,21243.0,,2,14,,1410414,
,,21243.0,,1,14,,1410414,
960000.0,,,,2,14,14.0,1410111,3.0
,,,230000.0,2,14,8.0,1410111,
750000.0,,,,1,14,12.0,1410111,8.0
,,,,1,14,10.0,1410111,
,,,,2,14,,1410111,
40000.0,,,,2,14,4.0,1410111,9.0
,,,250000.0,1,14,5.0,1410111,5.0
,,,,2,14,5.0,1410111,
380000.0,,,,1,14,16.0,1410111,8.0
850000.0,,,240000.0,1,14,5.0,1410111,8.0
,,,214000.0,2,14,0.0,1410111,
,,,,2,14,0.0,1410111,
,,,,1,14,10.0,1410111,7.0
500000.0,,,,1,14,8.0,1410111,3.0
,150000.0,,,2,14,12.0,1410111,
540000.0,,,,1,14,12.0,1410111,5.0
1200000.0,,,,1,14,16.0,1410113,2.0
,,,,2,14,17.0,1410113,
,,,,2,14,17.0,1410113,
2000000.0,,,,1,14,17.0,1410113,1.0
1800000.0,,,,2,14,17.0,1410113,2.0
2800000.0,,,,1,14,17.0,1410113,1.0
,,,,2,14,,1410113,
,,,,2,14,,1410113,
2500000.0,,,,1,14,19.0,1410113,1.0
1000000.0,,,,2,14,17.0,1410113,2.0
