id_hogar,region,estrato,edad,alfabetismo,asiste_actualmente,razon_no_asistencia,ultimo_año_asistencia,nivel_educacion,curso,jefe_hogar,año
1410110031401.0,14,141011,32,1,2,,,13.0,2,0,2017
1410110031401.0,14,141011,11,,1,,,7.0,6,0,2017
1410110031401.0,14,141011,8,,1,,,7.0,2,0,2017
1410110031401.0,14,141011,3,,1,,,3.0,,0,2017
1410110040101.0,14,141011,31,1,2,,,9.0,4,1,2017
1410110040101.0,14,141011,30,1,2,12,4,12.0,2,0,2017
1410110040101.0,14,141011,8,,1,,,7.0,3,0,2017
1410110040101.0,14,141011,1,,1,,,2.0,,0,2017
1410110040301.0,14,141011,34,1,2,,,13.0,5,1,2017
1410110040501.0,14,141011,38,1,2,,,9.0,4,1,2017
1410110040501.0,14,141011,40,1,2,,,9.0,3,0,2017
1410110040501.0,14,141011,18,1,1,,,9.0,3,0,2017
1410110040501.0,14,141011,7,,1,,,7.0,2,0,2017
1410110040601.0,14,141011,37,1,2,,,9.0,4,1,2017
1410110040601.0,14,141011,72,1,2,,,7.0,2,0,2017
1410110040601.0,14,141011,17,1,1,,,9.0,3,0,2017
1410110040601.0,14,141011,12,,1,,,7.0,7,0,2017
1410110040601.0,14,141011,10,,1,,,7.0,5,0,2017
1410110040701.0,14,141011,37,1,2,,,7.0,8,1,2017
1410110040701.0,14,141011,42,1,2,,,7.0,8,0,2017
1410110040701.0,14,141011,17,1,1,,,9.0,3,0,2017
1410110040701.0,14,141011,4,,1,,,3.0,,0,2017
1410110040702.0,14,141011,29,1,2,1,4,7.0,8,1,2017
1410110040702.0,14,141011,35,1,2,,,7.0,7,0,2017
1410110040702.0,14,141011,5,,2,,,1.0,,0,2017
1410110040702.0,14,141011,4,,2,,,1.0,,0,2017
1410110040702.0,14,141011,2,,2,,,1.0,,0,2017
1410110040801.0,14,141011,41,1,2,,,9.0,4,1,2017
1410110040801.0,14,141011,41,1,2,,,9.0,4,0,2017
1410110040801.0,14,141011,23,1,1,,,13.0,4,0,2017
1410110040801.0,14,141011,9,,1,,,7.0,4,0,2017
1410110040801.0,14,141011,4,,2,,,1.0,,0,2017
1410110040901.0,14,141011,34,1,2,,,15.0,7,1,2017
1410110040901.0,14,141011,31,1,2,,,15.0,7,0,2017
1410110041001.0,14,141011,53,1,2,,,9.0,4,1,2017
1410110041001.0,14,141011,46,1,2,,,9.0,4,0,2017
1410110041001.0,14,141011,25,1,1,,,13.0,5,0,2017
1410110041001.0,14,141011,19,1,1,,,13.0,1,0,2017
1410110041101.0,14,141011,63,1,2,,,7.0,5,1,2017
1410110041201.0,14,141011,53,1,2,,,7.0,4,1,2017
1410110041201.0,14,141011,54,1,2,,,7.0,4,0,2017
1410110041201.0,14,141011,28,1,2,12,4,9.0,4,0,2017
1410110041301.0,14,141011,61,1,2,,,7.0,8,1,2017
1410110041301.0,14,141011,60,1,2,,,7.0,8,0,2017
1410110041401.0,14,141011,59,1,2,,,9.0,4,1,2017
1410110041401.0,14,141011,58,1,2,,,9.0,4,0,2017
1410110041401.0,14,141011,25,1,2,7,2,13.0,5,0,2017
1410110041501.0,14,141011,82,1,2,,,6.0,1,1,2017
1410110041501.0,14,141011,72,1,2,,,6.0,2,0,2017
1410110050201.0,14,141011,47,1,2,,,11.0,2,1,2017
1410110050301.0,14,141011,42,1,2,,,11.0,4,1,2017
1410110050301.0,14,141011,23,1,1,,,13.0,5,0,2017
1410110050401.0,14,141011,45,1,2,,,11.0,4,1,2017
1410110050401.0,14,141011,19,1,2,7,2,9.0,4,0,2017
1410110050401.0,14,141011,11,,1,,,7.0,5,0,2017
1410110050501.0,14,141011,67,1,2,,,13.0,5,1,2017
1410110050501.0,14,141011,67,1,2,,,15.0,9,0,2017
1410110050501.0,14,141011,36,1,2,,,9.0,4,0,2017
1410110050501.0,14,141011,24,1,1,,,13.0,3,0,2017
1410110050601.0,14,141011,29,1,2,12,9,12.0,3,1,2017
1410110050602.0,14,141011,26,1,2,12,9,13.0,4,1,2017
1410110050701.0,14,141011,32,1,1,,,14.0,6,1,2017
1410110050701.0,14,141011,37,1,1,,,14.0,6,0,2017
1410110050901.0,14,141011,59,1,2,,,9.0,3,1,2017
1410110050901.0,14,141011,60,1,2,,,7.0,4,0,2017
1410110051201.0,14,141011,60,1,2,,,11.0,4,1,2017
1410110051201.0,14,141011,54,1,2,,,11.0,4,0,2017
1410110051201.0,14,141011,11,,1,,,7.0,4,0,2017
1410110051501.0,14,141011,51,1,2,,,9.0,4,1,2017
1410110051501.0,14,141011,53,1,2,,,9.0,4,0,2017
1410110051501.0,14,141011,52,1,2,,,9.0,4,0,2017
1410110060101.0,14,141011,58,1,2,,,7.0,8,1,2017
1410110060101.0,14,141011,52,1,2,,,7.0,3,0,2017
1410110060102.0,14,141011,52,1,2,,,9.0,3,1,2017
1410110060103.0,14,141011,22,1,1,,,13.0,5,1,2017
1410110060201.0,14,141011,30,1,2,17,9,11.0,4,1,2017
1410110060301.0,14,141011,34,1,2,,,13.0,5,1,2017
1410110060301.0,14,141011,46,1,2,,,9.0,4,0,2017
1410110060301.0,14,141011,75,1,2,,,8.0,4,0,2017
1410110070101.0,14,141011,80,1,2,,,13.0,5,1,2017
1410110070101.0,14,141011,75,1,2,,,13.0,5,0,2017
1410110070201.0,14,141011,39,1,2,,,12.0,2,1,2017
1410110070201.0,14,141011,38,1,2,,,9.0,4,0,2017
1410110070201.0,14,141011,6,,1,,,4.0,,0,2017
1410110070201.0,14,141011,5,,1,,,4.0,,0,2017
1410110080101.0,14,141011,65,1,2,,,13.0,4,1,2017
1410110080201.0,14,141011,78,1,2,,,8.0,6,1,2017
1410110080201.0,14,141011,75,1,2,,,8.0,6,0,2017
1410110080301.0,14,141011,47,1,2,,,7.0,8,1,2017
1410110080301.0,14,141011,52,1,2,,,7.0,8,0,2017
1410110080301.0,14,141011,18,1,1,,,9.0,4,0,2017
1410110080601.0,14,141011,55,1,2,,,9.0,4,1,2017
1410110080601.0,14,141011,33,1,2,,,9.0,4,0,2017
1410110080601.0,14,141011,25,1,2,99,4,7.0,4,0,2017
1410110080601.0,14,141011,30,1,2,99,4,9.0,4,0,2017
1410110080601.0,14,141011,3,,2,,,1.0,,0,2017
1410110080601.0,14,141011,2,,2,,,1.0,,0,2017
1410110080701.0,14,141011,46,1,2,,,13.0,5,1,2017
1410110080701.0,14,141011,45,1,2,,,11.0,4,0,2017
1410110080701.0,14,141011,23,1,1,,,13.0,5,0,2017
1410110080701.0,14,141011,19,1,2,17,2,9.0,4,0,2017
1410110080801.0,14,141011,51,1,2,,,9.0,3,1,2017
1410110081001.0,14,141011,65,1,2,,,15.0,6,1,2017
1410110081001.0,14,141011,39,1,2,,,13.0,5,0,2017
1410110081001.0,14,141011,45,1,2,,,9.0,4,0,2017
1410110081101.0,14,141011,82,1,2,,,9.0,4,1,2017
1410110081101.0,14,141011,54,1,2,,,11.0,4,0,2017
1410110081101.0,14,141011,52,1,2,,,9.0,4,0,2017
1410110090101.0,14,141011,77,1,2,,,9.0,4,1,2017
1410110090101.0,14,141011,48,1,2,,,13.0,5,0,2017
1410110090201.0,14,141011,57,1,2,,,9.0,4,1,2017
1410110090201.0,14,141011,25,1,2,7,3,13.0,5,0,2017
1410110090201.0,14,141011,5,,1,,,4.0,,0,2017
1410110090501.0,14,141011,39,1,1,,,14.0,5,1,2017
1410110090501.0,14,141011,38,1,2,,,15.0,7,0,2017
1410110090701.0,14,141011,82,1,2,,,8.0,6,1,2017
1410110090901.0,14,141011,45,1,2,,,12.0,3,1,2017
1410110091001.0,14,141011,80,1,2,,,13.0,5,1,2017
1410110091001.0,14,141011,86,1,2,,,10.0,2,0,2017
1410110100401.0,14,141011,70,1,2,,,13.0,2,1,2017
1410110100401.0,14,141011,59,1,2,,,13.0,2,0,2017
1410110100401.0,14,141011,88,1,2,,,8.0,6,0,2017
1410110100601.0,14,141011,37,1,2,,,15.0,7,1,2017
1410110100601.0,14,141011,42,1,2,,,15.0,9,0,2017
1410110100601.0,14,141011,0,,2,,,1.0,,0,2017
1410110100701.0,14,141011,57,1,2,,,13.0,5,1,2017
1410110100801.0,14,141011,40,1,1,,,14.0,7,1,2017
1410110100801.0,14,141011,19,1,1,,,13.0,1,0,2017
1410110100901.0,14,141011,79,1,2,,,10.0,4,1,2017
1410110110301.0,14,141011,30,1,2,99,9,13.0,6,1,2017
1410110110301.0,14,141011,29,1,2,99,9,13.0,6,0,2017
1410110110301.0,14,141011,30,1,2,99,9,14.0,8,0,2017
1410110110401.0,14,141011,51,1,2,,,9.0,4,1,2017
1410110110401.0,14,141011,24,1,1,,,13.0,1,0,2017
1410110120101.0,14,141011,72,1,2,,,13.0,4,1,2017
1410110120201.0,14,141011,55,1,2,,,13.0,5,1,2017
1410110120201.0,14,141011,25,1,1,,,13.0,4,0,2017
1410110120201.0,14,141011,81,1,2,,,13.0,4,0,2017
1410110120301.0,14,141011,80,1,2,,,6.0,6,1,2017
1410110120301.0,14,141011,90,1,2,,,6.0,6,0,2017
1410110120501.0,14,141011,76,1,2,,,13.0,5,1,2017
1410110120501.0,14,141011,56,1,2,,,12.0,3,0,2017
1410110130101.0,14,141011,63,1,2,,,13.0,5,1,2017
1410110130101.0,14,141011,70,1,2,,,13.0,5,0,2017
1410110130201.0,14,141011,31,1,2,,,9.0,4,1,2017
1410110130201.0,14,141011,40,1,2,,,9.0,4,0,2017
1410110130201.0,14,141011,15,1,1,,,7.0,3,0,2017
1410110130201.0,14,141011,8,,1,,,7.0,3,0,2017
1410110130201.0,14,141011,2,,1,,,3.0,,0,2017
1410110130401.0,14,141011,29,1,2,7,9,12.0,3,1,2017
1410110130401.0,14,141011,32,1,2,,,13.0,5,0,2017
1410110130501.0,14,141011,35,1,2,,,13.0,4,1,2017
1410110130501.0,14,141011,86,1,2,,,1.0,,0,2017
1410110130501.0,14,141011,38,1,2,,,13.0,4,0,2017
1410110140401.0,14,141011,86,1,2,,,13.0,3,1,2017
1410110140401.0,14,141011,56,1,2,,,12.0,2,0,2017
